"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"JISUANJI YANJIU YU FAZHAN/COMPUTER RESEARCH AND DEVELOPMENT"	"1000-1239"	"CHI"
"JISUAN LIXUE XUEBAO/CHINESE JOURNAL OF COMPUTATIONAL MECHANICS"	"1007-4708"	"CHI"
"JISUAN WULI/CHINESE JOURNAL OF COMPUTATIONAL PHYSICS"	"1001-246X"	"CHI"
"JIXIE GONGCHENG XUEBAO/CHINESE JOURNAL OF MECHANICAL ENGINEERING"	"0577-6686"	"CHI"
"JIXIE QIANDU/JOURNAL OF MECHANICAL STRENGTH"	"1001-9669"	"CHI"
"JK PRACTITIONER"	"0971-8834"	"ENG"
"JK SCIENCE"	"0972-1177"	"ENG"
"JLIS.IT"	"2038-1026|2038-5366"	"ENG|ITA"
"JMIR AGING"	"2561-7605"	"ENG"
"JMIR CANCER"	"2369-1999"	"ENG"
"JMIR CARDIO"	"2561-1011"	"ENG"
"JMIR DERMATOLOGY"	"2562-0959"	"ENG"
"JMIR DIABETES"	"2371-4379"	"ENG"
"JMIR FORMATIVE RESEARCH"	"2561-326X"	"ENG"
"JMIR HUMAN FACTORS"	"2292-9495"	"ENG"
"JMIR MEDICAL EDUCATION"	"2369-3762"	"ENG"
"JMIR MEDICAL INFORMATICS"	"2291-9694"	"ENG"
"JMIR MENTAL HEALTH"	"2368-7959"	"ENG"
"JMIR MHEALTH AND UHEALTH"	"2291-5222"	"ENG"
"JMIR PEDIATRICS AND PARENTING"	"2561-6722"	"ENG"
"JMIR PUBLIC HEALTH AND SURVEILLANCE"	"2369-2960"	"ENG"
"JMIR REHABILITATION AND ASSISTIVE TECHNOLOGIES"	"2369-2529"	"ENG"
"JMIR RESEARCH PROTOCOLS"	"1929-0748"	"ENG"
"JMIR SERIOUS GAMES"	"2291-9279"	"ENG"
"JMM INTERNATIONAL JOURNAL ON MEDIA MANAGEMENT"	"1424-1277|1424-1250"	"ENG"
"JMS - JOURNAL OF MEDICAL SOCIETY"	"0972-4958"	"ENG"
"JMV - JOURNAL DE MEDECINE VASCULAIRE"	"2542-4513"	"FRE"
"JNCI CANCER SPECTRUM"	"2515-5091"	"ENG"
"JNCI - JOURNAL OF THE NATIONAL CANCER INSTITUTE"	"0027-8874|1460-2105"	"ENG"
"JNP - THE JOURNAL FOR NURSE PRACTITIONERS"	"1555-4155|1878-058X"	"ENG"
"JNT - JOURNAL OF NARRATIVE THEORY"	"1549-0815|1548-9248"	"ENG"
"JOGNN - JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING"	"0884-2175|1552-6909"	"ENG"
"JOHNS HOPKINS APL TECHNICAL DIGEST (APPLIED PHYSICS LABORATORY)"	"0270-5214|1930-0530"	"ENG"
"JOHNSON MATTHEY TECHNOLOGY REVIEW"	"2056-5135"	"ENG"
"JOINT BONE SPINE"	"1297-319X|1778-7254"	"ENG"
"JOINT COMMISSION JOURNAL ON QUALITY AND PATIENT SAFETY"	"1553-7250|1938-131X"	"ENG"
"JOINT DISEASES AND RELATED SURGERY"	"2687-4784|2687-4792"	"ENG"
"JOKULL"	"0449-0576"	"ENG"
"JOM"	"1047-4838|1543-1851"	"ENG"
"JORDANIAN JOURNAL OF COMPUTERS AND INFORMATION TECHNOLOGY"	"2413-9351|2415-1076"	"ENG"
"JORDAN JOURNAL FOR HISTORY AND ARCHAEOLOGY"	"1996-9546"	"ARA"
"JORDAN JOURNAL OF BIOLOGICAL SCIENCES"	"2307-7166"	"ENG"
"JORDAN JOURNAL OF BUSINESS ADMINISTRATION"	"1815-8633|2308-6149"	"ENG"
"JORDAN JOURNAL OF CHEMISTRY"	"1814-9111|2079-7249"	"ENG"
"JORDAN JOURNAL OF CIVIL ENGINEERING"	"1993-0461|2225-157X"	"ENG"
"JORDAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES"	"1995-6681"	"ENG"
"JORDAN JOURNAL OF MATHEMATICS AND STATISTICS"	"2075-7905|2227-5487"	"ENG"
"JORDAN JOURNAL OF MECHANICAL AND INDUSTRIAL ENGINEERING"	"1995-6665"	"ENG"
"JORDAN JOURNAL OF MODERN LANGUAGES AND LITERATURES"	"1994-6953|2304-8069"	"ENG|MUL"
"JORDAN JOURNAL OF PHARMACEUTICAL SCIENCES"	"1995-7157"	"ENG"
"JORDAN JOURNAL OF PHYSICS"	"1994-7607|1994-7615"	"ENG"
"JORDAN MEDICAL JOURNAL"	"0446-9283"	"ENG"
"JORNAL BRASILEIRO DE NEFROLOGIA : ORGÃO OFICIAL DE SOCIEDADES BRASILEIRA E LATINO - AMERICANA DE NEFROLOGIA"	"2175-8239|0101-2800"	"ENG|POR"
"JORNAL BRASILEIRO DE PATOLOGIA E MEDICINA LABORATORIAL"	"1676-2444"	"ENG|POR"
"JORNAL BRASILEIRO DE PNEUMOLOGIA"	"1806-3713|1806-3756"	"ENG|POR"
"JORNAL BRASILEIRO DE PSIQUIATRIA"	"0047-2085"	"POR"
"JORNAL BRASILEIRO DE REPRODUCAO ASSISTIDA"	"1517-5693|1518-0557"	"POR"
"JORNAL DE PEDIATRIA"	"0021-7557|1678-4782"	"ENG"
"JORNAL VASCULAR BRASILEIRO"	"1677-5449|1677-7301"	"ENG|POR"
"JOR SPINE"	"2572-1143"	"ENG"
"JOULE"	"2542-4351"	"ENG"
"JOURNAL AND PROCEEDINGS - ROYAL SOCIETY OF NEW SOUTH WALES"	"0035-9173"	"ENG"
"JOURNAL ASIATIQUE"	"0021-762X|1783-1504"	"ENG|GER|MUL|SPA"
"JOURNAL D'ANALYSE MATHEMATIQUE"	"0021-7670|1565-8538"	"ENG|FRE|MUL"
"JOURNAL DE LA SOCIETE DES AMERICANISTES"	"0037-9174|1957-7842"	"ENG|FRE|MUL"
"JOURNAL DE LA SOCIETE DES OCEANISTES"	"0300-953X|1760-7256"	"ENG|FRE"
"JOURNAL DE L'ECOLE POLYTECHNIQUE - MATHEMATIQUES"	"2270-518X|2429-7100"	"ENG|FRE"
"JOURNAL DE MYCOLOGIE MEDICALE"	"1156-5233|1773-0449"	"ENG|FRE|MUL"
"JOURNAL DE PEDIATRIE ET DE PUERICULTURE"	"0987-7983"	"FRE"
"JOURNAL DE PHARMACIE CLINIQUE"	"0291-1981"	"FRE"
"JOURNAL DES ECONOMISTES ET DES ETUDES HUMAINES"	"2153-1552|2194-5799"	"ENG"
"JOURNAL DES MATHEMATIQUES PURES ET APPLIQUEES"	"0021-7824|1776-3371"	"ENG|FRE|MUL"
"JOURNAL DES PROFESSIONNELS DE L'ENFANCE"	"1297-5354"	"FRE"
"JOURNAL DE THEORIE DES NOMBRES DE BORDEAUX"	"1246-7405|2118-8572"	"ENG|FRE|MUL"
"JOURNAL DE TRAUMATOLOGIE DU SPORT"	"0762-915X"	"FRE"
"JOURNAL EUROPEEN DES SYSTEMES AUTOMATISES"	"1269-6935"	"ENG|FRE"
"JOURNAL EUROPEEN DES URGENCES ET DE REANIMATION"	"2211-4238"	"ENG|FRE"
"JOURNAL FOR ADVANCEMENT OF MARKETING EDUCATION"	"1537-5137|2326-3296"	"ENG"
"JOURNAL FOR CONTINENTAL PHILOSOPHY OF RELIGION"	"2588-9605|2588-9613"	"ENG"
"JOURNAL FOR CRITICAL EDUCATION POLICY STUDIES"	"1740-2743|2051-0969"	"ENG"
"JOURNAL FOR CULTURAL RESEARCH"	"1479-7585|1740-1666"	"ENG"
"JOURNAL FOR EARLY MODERN CULTURAL STUDIES"	"1531-0485|1553-3786"	"ENG"
"JOURNAL FOR EDUCATIONAL RESEARCH ONLINE - JERO"	"1866-6671"	"MUL"
"JOURNAL FOR EDUCATORS TEACHERS AND TRAINERS"	"1989-9572"	"ENG|FRE|POR|SPA"
"JOURNAL FOR EIGHTEENTH - CENTURY STUDIES"	"1754-0208|1754-0194"	"ENG"
"JOURNAL FOR EUROPEAN ENVIRONMENTAL AND PLANNING LAW"	"1613-7272|1876-0104"	"ENG"
"JOURNAL FOR FOREIGN LANGUAGES"	"1855-8453|2350-4269"	"ENG|FRE|ITA|SLO|SPA"
"JOURNAL FOR GENERAL PHILOSOPHY OF SCIENCE"	"0925-4560|1572-8587"	"ENG"
"JOURNAL FOR GEOMETRY AND GRAPHICS"	"1433-8157"	"ENG"
"JOURNAL FOR GLOBAL BUSINESS ADVANCEMENT"	"1746-966X|1746-9678"	"ENG"
"JOURNAL FOR HEALTHCARE QUALITY : OFFICIAL PUBLICATION OF THE NATIONAL ASSOCIATION FOR HEALTHCARE QUALITY"	"1062-2551|1945-1474"	"ENG"
"JOURNAL FOR IMMUNOTHERAPY OF CANCER"	"2051-1426"	"ENG"
"JOURNAL FOR INTERDISCIPLINARY MIDDLE EASTERN STUDIES"	"2522-347X|2522-6959"	"ENG"
"JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT"	"1549-9324|1747-6763"	"ENG"
"JOURNAL FOR LABOUR MARKET RESEARCH"	"1614-3485|1867-8343|2510-5019|2510-5027"	"ENG"
"JOURNAL FOR MARITIME RESEARCH"	"1469-1957|2153-3369"	"ENG"
"JOURNAL FOR MODELING IN OPHTHALMOLOGY"	"2468-3922|2468-3930"	"ENG"
"JOURNAL FOR MULTICULTURAL EDUCATION"	"2053-5368|2053-535X"	"ENG"
"JOURNAL FOR NATURE CONSERVATION"	"1617-1381|1618-1093"	"ENG"
"JOURNAL FOR NEW GENERATION SCIENCES"	"1684-4998"	"ENG"
"JOURNAL FOR NURSES IN PROFESSIONAL DEVELOPMENT"	"2169-9798|2169-981X"	"ENG"
"JOURNAL FOR PEACE AND NUCLEAR DISARMAMENT"	"2575-1654"	"ENG"
"JOURNAL FOR PERSON - ORIENTED RESEARCH"	"2002-0244|2003-0177"	"ENG"
"JOURNAL FOR REATTACH THERAPY AND DEVELOPMENTAL DIVERSITIES"	"2589-7799"	"ENG"
"JOURNAL FOR RELIGION, FILM AND MEDIA"	"2414-0201|2617-3697"	"ENG"
"JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION"	"0021-8251|1945-2306"	"ENG"
"JOURNAL FOR SEMITICS"	"1013-8471"	"MUL"
"JOURNAL FOR SOCIAL ACTION IN COUNSELING AND PSYCHOLOGY"	"2159-8142"	"ENG"
"JOURNAL FOR SPECIALISTS IN GROUP WORK"	"0193-3922|1549-6295"	"ENG"
"JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING : JSPN"	"1539-0136|1744-6155"	"ENG"
"JOURNAL FOR STUDIES IN ECONOMICS AND ECONOMETRICS"	"0379-6205"	"ENG"
"JOURNAL FOR THE ACADEMIC STUDY OF RELIGION"	"2047-704X|2047-7058"	"ENG"
"JOURNAL FOR THE COGNITIVE SCIENCE OF RELIGION"	"2049-7555|2049-7563"	""
"JOURNAL FOR THE EDUCATION OF THE GIFTED"	"0162-3532|2162-9501"	"ENG"
"JOURNAL FOR THE HISTORY OF ASTRONOMY"	"0021-8286|1753-8556"	"ENG"
"JOURNAL FOR THE HISTORY OF MODERN THEOLOGY - ZEITSCHRIFT FUR NEUERE THEOLOGIEGESCHICHTE"	"0943-7592|1612-9776"	"ENG|GER|MUL"
"JOURNAL FOR THE HISTORY OF RHETORIC"	"2687-8003|2687-8011"	"ENG"
"JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION"	"0021-8294|1468-5906"	"ENG"
"JOURNAL FOR THE STUDY OF CHRISTIAN CULTURE"	"2071-9957"	"MUL"
"JOURNAL FOR THE STUDY OF EDUCATION AND DEVELOPMENT"	"0210-3702|1578-4126"	"ENG|MUL|SPA"
"JOURNAL FOR THE STUDY OF JUDAISM"	"0047-2212|1570-0631"	"DUT|ENG"
"JOURNAL FOR THE STUDY OF PAUL AND HIS LETTERS"	"2159-2063|2576-7941"	"ENG"
"JOURNAL FOR THE STUDY OF RADICALISM"	"1930-1189"	"ENG"
"JOURNAL FOR THE STUDY OF RELIGION"	"1011-7601"	"ENG"
"JOURNAL FOR THE STUDY OF RELIGION, NATURE AND CULTURE"	"1749-4907|1749-4915"	"ENG"
"JOURNAL FOR THE STUDY OF RELIGIONS AND IDEOLOGIES"	"1583-0039"	"ENG|ROM|RUM"
"JOURNAL FOR THE STUDY OF SPIRITUALITY"	"2044-0243|2044-0251"	"ENG"
"JOURNAL FOR THE STUDY OF SPORTS AND ATHLETES IN EDUCATION"	"1935-7397|1935-7400"	"ENG"
"JOURNAL FOR THE STUDY OF THE HISTORICAL JESUS"	"1476-8690|1745-5197"	"ENG"
"JOURNAL FOR THE STUDY OF THE NEW TESTAMENT"	"0142-064X|1745-5294"	"ENG"
"JOURNAL FOR THE STUDY OF THE OLD TESTAMENT"	"0309-0892|1476-6728"	"ENG"
"JOURNAL FOR THE STUDY OF THE PSEUDEPIGRAPHA"	"0951-8207|1745-5286"	"ENG"
"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR"	"0021-8308|1468-5914"	"ENG"
"JOURNAL FOR VASCULAR ULTRASOUND"	"1544-3167|1544-3175"	"ENG"
"JOURNAL FOR WEAVERS, SPINNERS AND DYERS"	"0267-7806"	"ENG"
"JOURNAL FRANCAIS D'OPHTALMOLOGIE"	"0181-5512|1773-0597"	"ENG|FRE"
"JOURNAL FÜR ÄSTHETISCHE CHIRURGIE"	"1867-4305|1867-4313"	"GER|MUL"
"JOURNAL FÜR DIE REINE UND ANGEWANDTE MATHEMATIK"	"0075-4102|1435-5345"	"ENG|MUL"
"JOURNAL FÜR ENTWICKLUNGSPOLITIK"	"0258-2384"	"GER"
"JOURNAL FÜR GASTROENTEROLOGISCHE UND HEPATOLOGISCHE ERKRANKUNGEN"	"1728-6263|1728-6271"	"GER"
"JOURNAL FÜR GYNAKOLOGISCHE ENDOKRINOLOGIE"	"1996-1553|1997-6690"	"GER"
"JOURNAL FÜR HYPERTONIE"	"1028-2327|1680-9378"	"GER"
"JOURNAL FÜR KARDIOLOGIE"	"1024-0098|1680-936X"	"GER"
"JOURNAL FUR KULTURPFLANZEN"	"1867-0911"	"GER"
"JOURNAL FÜR MATHEMATIK - DIDAKTIK"	"0173-5322|1869-2699"	"ENG|GER"
"JOURNAL FUR MINERALSTOFFWECHSEL & MUSKULOSKELETTALE ERKRANKUNGEN"	"2412-8260|2412-8287"	"ENG|GER"
"JOURNAL FÜR NEUROLOGIE, NEUROCHIRURGIE UND PSYCHIATRIE"	"1608-1587|1680-9440"	"GER"
"JOURNAL FUR PHARMAKOLOGIE UND THERAPIE"	"1432-4334"	"ENG|GER"
"JOURNAL FÜR REPRODUKTIONSMEDIZIN UND ENDOKRINOLOGIE"	"1810-2107|1810-9292"	"GER"
"JOURNAL FÜR UROLOGIE UND UROGYNAKOLOGIE"	"1023-6090|1680-9424"	"GER"
"JOURNAL FÜR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT"	"1661-5751|1661-5867"	"ENG|GER"
"JOURNAL GLOBALIZATION, COMPETITIVENESS AND GOVERNABILITY"	"1988-7116"	"ENG|POR|SPA"
"JOURNAL GLOBAL POLICY AND GOVERNANCE"	"2194-7740|2194-7759"	"ENG"
"JOURNAL, INDIAN ACADEMY OF CLINICAL MEDICINE"	"0972-3560"	"ENG"
"JOURNAL INTERNATIONAL MEDICAL SCIENCES ACADEMY"	"0971-071X"	"ENG"
"JOURNALISM"	"1464-8849|1741-3001"	"ENG"
"JOURNALISM AND MASS COMMUNICATION EDUCATOR"	"1077-6958|2161-4326"	"ENG"
"JOURNALISM AND MASS COMMUNICATION QUARTERLY"	"1077-6990|2161-430X"	"ENG"
"JOURNALISM & COMMUNICATION MONOGRAPHS"	"1522-6379"	"ENG"
"JOURNALISM HISTORY"	"0094-7679"	"ENG"
"JOURNALISM PRACTICE"	"1751-2786|1751-2794"	"ENG"
"JOURNALISM STUDIES"	"1461-670X|1469-9699"	"ENG"
"JOURNAL JAPANESE SOCIETY OF COMPUTATIONAL STATISTICS"	"0915-2350|1881-1337"	""
"JOURNAL MEDICAL LIBANAIS"	"0023-9852"	"ENG|FRE"
"JOURNAL OF AAPOS"	"1091-8531|1528-3933"	"ENG"
"JOURNAL OF ABNORMAL PSYCHOLOGY"	"0021-843X|1939-1846"	"ENG"
"JOURNAL OF ACADEMIC ETHICS"	"1570-1727|1572-8544"	"ENG"
"JOURNAL OF ACADEMIC LANGUAGE AND LEARNING"	"1835-5196"	"ENG"
"JOURNAL OF ACADEMIC LIBRARIANSHIP"	"0099-1333|1879-1999"	"ENG"
"JOURNAL OF ACADEMIC RESEARCH IN MEDICINE - JAREM"	"2146-6505|2147-1894"	"MUL"
"JOURNAL OF ACCESSIBILITY AND DESIGN FOR ALL"	"2013-7087"	"ENG"
"JOURNAL OF ACCESS SERVICES"	"1536-7967|1536-7975"	"ENG"
"JOURNAL OF ACCOUNTING AND ECONOMICS"	"0165-4101|1879-1980"	"ENG"
"JOURNAL OF ACCOUNTING AND ORGANIZATIONAL CHANGE"	"1832-5912|1839-5473"	"ENG"
"JOURNAL OF ACCOUNTING AND PUBLIC POLICY"	"0278-4254|1873-2070"	"ENG"
"JOURNAL OF ACCOUNTING, AUDITING AND FINANCE"	"0148-558X|2160-4061"	"ENG"
"JOURNAL OF ACCOUNTING EDUCATION"	"0748-5751"	"ENG"
"JOURNAL OF ACCOUNTING IN EMERGING ECONOMIES"	"2042-1168|2042-1176"	"ENG"
"JOURNAL OF ACCOUNTING LITERATURE"	"0737-4607|2452-1469"	"ENG"
"JOURNAL OF ACCOUNTING RESEARCH"	"0021-8456|1475-679X"	"ENG"
"JOURNAL OF ACCOUNTING REVIEW"	"1018-1687"	"CHI|MUL"
"JOURNAL OF ACHIEVEMENTS IN MATERIALS AND MANUFACTURING ENGINEERING"	"1734-8412|2300-892X"	"ENG"
"JOURNAL OF ACTIVE AND PASSIVE ELECTRONIC DEVICES"	"1555-0281|1555-029X"	"ENG"
"JOURNAL OF ACUPUNCTURE AND TUINA SCIENCE"	"1672-3597|1993-0399"	"ENG|MUL"
"JOURNAL OF ACUTE CARE PHYSICAL THERAPY"	"2158-8686|2159-0524"	"ENG"
"JOURNAL OF ACUTE DISEASE"	"2221-6189|2589-5516"	"ENG"
"JOURNAL OF ACUTE MEDICINE"	"2211-5587|2211-5595"	"ENG"
"JOURNAL OF ADAPTATION IN FILM & PERFORMANCE"	"1753-6421|1753-643X"	"ENG"
"JOURNAL OF ADDICTION MEDICINE"	"1932-0620|1935-3227"	"ENG"
"JOURNAL OF ADDICTIONS AND OFFENDER COUNSELING"	"1055-3835|2161-1874"	"ENG"
"JOURNAL OF ADDICTIONS NURSING"	"1088-4602|1548-7148"	"ENG"
"JOURNAL OF ADDICTIVE DISEASES"	"1055-0887|1545-0848"	"ENG"
"JOURNAL OF ADHESION"	"1563-518X|0021-8464|1545-5823"	"ENG"
"JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY"	"0169-4243|1568-5616"	"ENG"
"JOURNAL OF ADHESIVE DENTISTRY"	"1461-5185|1757-9988"	"ENG"
"JOURNAL OF ADOLESCENCE"	"0140-1971|1095-9254"	"ENG"
"JOURNAL OF ADOLESCENT AND ADULT LITERACY"	"1081-3004|1936-2706"	"ENG"
"JOURNAL OF ADOLESCENT AND YOUNG ADULT ONCOLOGY"	"2156-5333|2156-535X"	"ENG"
"JOURNAL OF ADOLESCENT HEALTH"	"1054-139X|1879-1972"	"ENG"
"JOURNAL OF ADOLESCENT RESEARCH"	"0743-5584|1552-6895"	"ENG"
"JOURNAL OF ADULT AND CONTINUING EDUCATION"	"1477-9714|1479-7194"	"ENG"
"JOURNAL OF ADULT DEVELOPMENT"	"1068-0667|1573-3440"	"ENG"
"JOURNAL OF ADVANCED ACADEMICS"	"1932-202X|2162-9536"	"ENG"
"JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH"	"2454-3225"	""
"JOURNAL OF ADVANCED BIOTECHNOLOGY AND EXPERIMENTAL THERAPEUTICS"	"2616-4760"	"ENG"
"JOURNAL OF ADVANCED CERAMICS"	"2226-4108|2227-8508"	"ENG"
"JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS"	"1343-0130|1883-8014"	"ENG"
"JOURNAL OF ADVANCED CONCRETE TECHNOLOGY"	"1346-8014|1347-3913"	"ENG"
"JOURNAL OF ADVANCED DIELECTRICS"	"2010-135X|2010-1368"	"ENG"
"JOURNAL OF ADVANCED JOINING PROCESSES"	"2666-3309"	"ENG"
"JOURNAL OF ADVANCED MANUFACTURING SYSTEMS"	"0219-6867|1793-6896"	"ENG"
"JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY"	"1985-3157|2289-8107"	"ENG"
"JOURNAL OF ADVANCED MECHANICAL DESIGN, SYSTEMS AND MANUFACTURING"	"1881-3054"	"ENG"
"JOURNAL OF ADVANCED MILITARY STUDIES"	"2770-2596|2770-260X"	"ENG"
"JOURNAL OF ADVANCED NURSING"	"0309-2402|1365-2648"	"ENG"
"JOURNAL OF ADVANCED ORAL RESEARCH"	"2320-2068|2320-2076"	"ENG"
"JOURNAL OF ADVANCED PHARMACEUTICAL TECHNOLOGY AND RESEARCH"	"0976-2094|2231-4040"	"ENG"
"JOURNAL OF ADVANCED PHARMACY EDUCATION AND RESEARCH"	"2249-3379"	"ENG"
"JOURNAL OF ADVANCED PROSTHODONTICS"	"2005-7806|2005-7814"	"ENG"
"JOURNAL OF ADVANCED RESEARCH"	"2090-1232|2090-1224"	"ENG"
"JOURNAL OF ADVANCED RESEARCH IN FLUID MECHANICS AND THERMAL SCIENCES"	"2289-7879"	"ENG"
"JOURNAL OF ADVANCED SIMULATION IN SCIENCE AND ENGINEERING"	"2188-5303"	"ENG"
"JOURNAL OF ADVANCED TRANSPORTATION"	"0197-6729|2042-3195"	"ENG"
"JOURNAL OF ADVANCED VETERINARY AND ANIMAL RESEARCH"	"2311-7710"	"ENG"
"JOURNAL OF ADVANCED VETERINARY RESEARCH"	"2090-6269|2090-6277"	"ENG"
"JOURNAL OF ADVANCED ZOOLOGY"	"0253-7214"	"ENG"
"JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY"	"1798-2340"	"ENG"
"JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH"	"0972-7981|2049-3207"	"ENG"
"JOURNAL OF ADVANCES IN MEDICAL AND BIOMEDICAL RESEARCH"	"2676-6264"	"ENG"
"JOURNAL OF ADVANCES IN MEDICAL EDUCATION AND PROFESSIONALISM"	"2322-2220|2322-3561"	"ENG"
"JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS"	"1942-2466"	"ENG"
"JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING"	"1472-9679|1754-0402"	"ENG"
"JOURNAL OF ADVERTISING"	"0091-3367|1557-7805"	"ENG"
"JOURNAL OF ADVERTISING EDUCATION"	"1098-0482|2516-1873"	"ENG"
"JOURNAL OF ADVERTISING RESEARCH"	"0021-8499|1740-1909"	"ENG"
"JOURNAL OF AERONAUTICS, ASTRONAUTICS AND AVIATION"	"1990-7710"	"ENG"
"JOURNAL OF AEROSOL MEDICINE AND PULMONARY DRUG DELIVERY"	"1941-2711|1941-2703"	"ENG"
"JOURNAL OF AEROSOL SCIENCE"	"0021-8502|1879-1964"	"ENG"
"JOURNAL OF AEROSPACE ENGINEERING"	"0893-1321|1943-5525"	"ENG"
"JOURNAL OF AEROSPACE INFORMATION SYSTEMS"	"2327-3097"	"ENG"
"JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT"	"1984-9648|2175-9146"	"ENG"
"JOURNAL OF AESTHETIC EDUCATION"	"0021-8510|1543-7809"	"ENG"
"JOURNAL OF AESTHETICS AND ART CRITICISM"	"0021-8529|1540-6245"	"ENG"
"JOURNAL OF AESTHETICS AND CULTURE"	"2000-4214"	"ENG"
"JOURNAL OF AESTHETICS AND PHENOMENOLOGY"	"2053-9320|2053-9339"	"ENG"
"JOURNAL OF AFFECTIVE DISORDERS"	"0165-0327|1573-2517"	"ENG"
"JOURNAL OF AFFECTIVE DISORDERS REPORTS"	"2666-9153"	"ENG"
"JOURNAL OF AFRICAN AMERICAN HISTORY"	"1548-1867|2153-5086"	"ENG"
"JOURNAL OF AFRICAN AMERICAN STUDIES"	"1559-1646|1936-4741"	"ENG"
"JOURNAL OF AFRICAN ARCHAEOLOGY"	"1612-1651|2191-5784"	"ENG"
"JOURNAL OF AFRICANA RELIGIONS"	"2165-5405|2165-5413"	"ENG"
"JOURNAL OF AFRICAN BUSINESS"	"1522-8916|1522-9076"	"ENG"
"JOURNAL OF AFRICAN CINEMAS"	"1754-9221|1754-923X"	"ENG"
"JOURNAL OF AFRICAN CULTURAL STUDIES"	"1369-6815|1469-9346"	"ENG"
"JOURNAL OF AFRICAN DIASPORA ARCHAEOLOGY AND HERITAGE"	"2161-9441|2161-9468"	"ENG"
"JOURNAL OF AFRICAN EARTH SCIENCES"	"1464-343X|1879-1956"	"ENG|MUL"
"JOURNAL OF AFRICAN ECONOMIES"	"0963-8024|1464-3723"	"ENG"
"JOURNAL OF AFRICAN FILMS AND DIASPORA STUDIES"	"2516-2705|2516-2713"	"ENG"
"JOURNAL OF AFRICAN HISTORY"	"0021-8537|1469-5138"	"ENG|MUL"
"JOURNAL OF AFRICAN LANGUAGES AND LINGUISTICS"	"0167-6164|1613-3811"	"ENG"
"JOURNAL OF AFRICAN LAW"	"0021-8553|1464-3731"	"ENG"
"JOURNAL OF AFRICAN MEDIA STUDIES"	"1751-7974|2040-199X"	"ENG"
"JOURNAL OF AFRICAN MILITARY HISTORY"	"2468-0958|2468-0966"	"ENG"
"JOURNAL OF AFRICAN UNION STUDIES"	"2050-4292|2050-4306"	"ENG"
"JOURNAL OF AGGRESSION, CONFLICT AND PEACE RESEARCH"	"1759-6599|2042-8715"	"ENG"
"JOURNAL OF AGGRESSION, MALTREATMENT AND TRAUMA"	"1092-6771|1545-083X"	"ENG"
"JOURNAL OF AGING AND ENVIRONMENT"	"2689-2618|2689-2626"	"ENG"
"JOURNAL OF AGING AND HEALTH"	"0898-2643|1552-6887"	"ENG"
"JOURNAL OF AGING AND PHYSICAL ACTIVITY"	"1063-8652|1543-267X"	"ENG"
"JOURNAL OF AGING AND SOCIAL POLICY"	"0895-9420|1545-0821"	"ENG"
"JOURNAL OF AGING RESEARCH"	"2090-2204|2090-2212"	"ENG"
"JOURNAL OF AGING STUDIES"	"0890-4065|1879-193X"	"ENG"
"JOURNAL OF AGRARIAN CHANGE"	"1471-0358|1471-0366"	"ENG"
"JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING ECONOMIES"	"2044-0839|2044-0847"	"ENG"
"JOURNAL OF AGRICULTURAL AND APPLIED ECONOMICS"	"1074-0708|2056-7405"	"ENG"
"JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL ETHICS"	"1187-7863|1573-322X"	"ENG"
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY"	"0021-8561|1520-5118"	"ENG"
"JOURNAL OF AGRICULTURAL AND FOOD INDUSTRIAL ORGANIZATION"	"1542-0485"	"ENG"
"JOURNAL OF AGRICULTURAL AND FOOD INFORMATION"	"1049-6505|1540-4722"	"ENG"
"JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS"	"1068-5502|2327-8285"	"ENG"
"JOURNAL OF AGRICULTURAL AND URBAN ENTOMOLOGY"	"1523-5475"	"ENG"
"JOURNAL OF AGRICULTURAL, BIOLOGICAL, AND ENVIRONMENTAL STATISTICS"	"1085-7117|1537-2693"	"ENG"
"JOURNAL OF AGRICULTURAL ECONOMICS"	"0021-857X|1477-9552"	"ENG"
"JOURNAL OF AGRICULTURAL EDUCATION AND EXTENSION"	"1389-224X|1750-8622"	"ENG"
